Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Sugars (g),Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
3-in-1 instant cereal (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Others,Packet (30g),Breakfast,,Meat,Cereal,20,12.06,2.82,1.41,1.68,0.08,10.77,79.2,75.9,58.63425414,13.71049724,6.855248619,79.2
4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),Breakfast,,Meat,Rice,11,24.99,2.49,1.5,1.11,#N/A,8.91,126,84,108.6521739,10.82608696,6.52173913,126
"6-inch Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (216g),Main,Subway,Meat,Sandwich,18,37,4.6,17.28,4,#N/A,7,263.52,1069.2,165.5951087,20.5875,77.3373913,263.52
"6-inch Italian BMT Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (228g),Main,Subway,Meat,Sandwich,18,38.01,20,22.8,3.99,#N/A,7,426.36,1605.12,200.5437891,105.5215939,120.294617,426.36
"6-inch Meatball Marinara Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (339g),Main,Subway,Meat,Sandwich,18,52.99,20,20.34,4.98,#N/A,10.98,471.21,1223.79,267.5390325,100.9771778,102.6937898,471.21
"6-inch Oven Roasted Chicken Breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),Main,Subway,Meat,Sandwich,18,40.94,5.29,23,5.06,#N/A,5.98,305.9,807.3,180.8976744,23.3744186,101.627907,305.9
"6-inch Roast Beef Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,Subway,Meat,Sandwich,18,38.01,4.49,18.9,3.99,#N/A,6.01,270.9,648.9,167.702101,19.81011401,83.38778502,270.9
"6-inch Spicy Italian Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (224g),Main,Subway,Meat,Sandwich,18,38.08,28,22.4,5,#N/A,7.01,497.28,1693.44,214.0192405,157.3670886,125.8936709,497.28
"6-inch Steak and Cheese Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (270g),Main,Subway,Meat,Sandwich,18,42.01,11.99,27,5,#N/A,6.99,394.2,1085.4,204.4486667,58.35133333,131.4,394.2
"6-inch Subway Club Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (243g),Main,Subway,Meat,Sandwich,18,38.98,5.2,24.3,4.01,#N/A,6,298.89,1057.05,170.1333557,22.69608645,106.0605578,298.89
"6-inch Subway Melt Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (240g),Main,Subway,Meat,Sandwich,18,39,10.99,24,4.01,#N/A,7.01,360,1404,189.7553723,53.47209082,116.7725368,360
"6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (267g),Main,Subway,Meat,Sandwich,18,50.01,4.81,26.7,4.01,#N/A,17.01,355.11,881.1,217.8490076,20.95288395,116.3081084,355.11
"6-inch Tuna Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (236g),Main,Subway,Meat,Sandwich,18,35.99,30,21.24,3.99,#N/A,5,507.4,800.04,209.3468531,174.5041843,123.5489625,507.4
"6-inch Turkey Breast and Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (219g),Main,Subway,Meat,Sandwich,18,38,4.49,19.71,4.01,#N/A,6,271.56,1011.78,165.9048232,19.60296463,86.05221222,271.56
