Food Name,Food Group,Food Sub Group,Per Serving Household Measure,Opta Type,Opta Place,GA Type,FoodType,FoodTypeValue,"Carbohydrates
(g)","Fats
(g)","Protein
(g)","Dietary 
Fibre
(g)","Trans Fats
(mg)",Energy,"Sodium 
(mg)","Carbohydrates
(kcal)","Fats
(kcal)","Protein
(kcal)",Total Calories (kcal)
3-in-1 instant cereal (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Others,Packet (30g),Breakfast,,Meat,Cereal,20,12.06,2.82,1.41,1.68,0.08,79.2,75.9,58.63,13.71,6.86,79.20
4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),Breakfast,,Meat,Rice,11,24.99,2.49,1.5,1.11,#N/A,126,84,108.65,10.83,6.52,126.00
"6-inch Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (216g),Main,Subway,Meat,Sandwich,18,37,4.6,17.28,4,#N/A,263.52,1069.2,165.60,20.59,77.34,263.52
"6-inch Italian BMT Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (228g),Main,Subway,Meat,Sandwich,18,38.01,20,22.8,3.99,#N/A,426.36,1605.12,200.54,105.52,120.29,426.36
"6-inch Meatball Marinara Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (339g),Main,Subway,Meat,Sandwich,18,52.99,20,20.34,4.98,#N/A,471.21,1223.79,267.54,100.98,102.69,471.21
"6-inch Oven Roasted Chicken Breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),Main,Subway,Meat,Sandwich,18,40.94,5.29,23,5.06,#N/A,305.9,807.3,180.90,23.37,101.63,305.90
"6-inch Roast Beef Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,Subway,Meat,Sandwich,18,38.01,4.49,18.9,3.99,#N/A,270.9,648.9,167.70,19.81,83.39,270.90
"6-inch Spicy Italian Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (224g),Main,Subway,Meat,Sandwich,18,38.08,28,22.4,5,#N/A,497.28,1693.44,214.02,157.37,125.89,497.28
"6-inch Steak and Cheese Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (270g),Main,Subway,Meat,Sandwich,18,42.01,11.99,27,5,#N/A,394.2,1085.4,204.45,58.35,131.40,394.20
"6-inch Subway Club Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (243g),Main,Subway,Meat,Sandwich,18,38.98,5.2,24.3,4.01,#N/A,298.89,1057.05,170.13,22.70,106.06,298.89
"6-inch Subway Melt Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (240g),Main,Subway,Meat,Sandwich,18,39,10.99,24,4.01,#N/A,360,1404,189.76,53.47,116.77,360.00
"6-inch Sweet Onion Chicken Teriyaki Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (267g),Main,Subway,Meat,Sandwich,18,50.01,4.81,26.7,4.01,#N/A,355.11,881.1,217.85,20.95,116.31,355.11
"6-inch Tuna Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (236g),Main,Subway,Meat,Sandwich,18,35.99,30,21.24,3.99,#N/A,507.4,800.04,209.35,174.50,123.55,507.40
"6-inch Turkey Breast and Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (219g),Main,Subway,Meat,Sandwich,18,38,4.49,19.71,4.01,#N/A,271.56,1011.78,165.90,19.60,86.05,271.56
"6-inch Turkey breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),Main,Subway,Meat,Sandwich,18,37,3.91,18.9,3.99,#N/A,260.4,787.5,161.09,17.02,82.29,260.40
"6-inch Veggie Delite Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (153g),Main,Subway,Meat,Sandwich,18,35.01,2.69,9.18,3.99,#N/A,205.02,284.58,153.11,11.76,40.15,205.02
